Ticker,Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Zombie Indicator
BGNE,2019-12-31,734219,USD,2019,FY,2020-03-02,2022-02-28,60051543.0,60051543.0,428212000.0,-71190000.0,357022000.0,-1316913000.0,-388249000.0,-927338000.0,-1326000.0,-959891000,16305000.0,9131000.0,-943586000,,-943586000,-6992000.0,-950578000,,-948628000,-948628000,-105.12441134596429
BGNE,2020-12-31,734219,USD,2020,FY,2021-02-25,2022-02-28,83468337.0,83468337.0,308874000.0,-70657000.0,238217000.0,-1895899000.0,-600176000.0,-1294877000.0,-846000.0,-1657682000,39488000.0,1998000.0,-1618194000,,-1618194000,17671000.0,-1600523000,,-1596906000,-1596906000,-829.6706706706707
BKTI,2017-12-31,546874,USD,2017,FY,2018-03-06,2018-03-06,13625000.0,13625000.0,39395000.0,-29845000.0,9550000.0,-14577000.0,-14577000.0,,,-5027000,-60000.0,46000.0,-5087000,-363000.0,-5450000,1824000.0,-3626000,,-3626000,-3626000,-109.28260869565217
BKTI,2019-12-31,546874,USD,2019,FY,2020-03-04,2021-03-03,12705000.0,12705000.0,40100000.0,-24449000.0,15651000.0,-20036000.0,-20036000.0,,,-4385000,46000.0,150000.0,-4339000,716000.0,-3623000,987000.0,-2636000,,-2636000,-2636000,-29.233333333333334
BL,2017-12-31,371763,USD,2017,FY,2018-03-08,2018-03-08,52161000.0,52161000.0,177031000.0,-41486000.0,135545000.0,-170605000.0,-146731000.0,-23874000.0,,-35060000,1056000.0,1056000.0,-34004000,-3490000.0,-37494000,-567000.0,-38061000,,-38061000,-38061000,-33.20075757575758
BL,2018-12-31,371763,USD,2018,FY,2019-02-28,2021-02-25,53912000.0,53912000.0,227788000.0,-50874000.0,176914000.0,-206750000.0,-175996000.0,-30754000.0,,-29836000,2132000.0,2132000.0,-27704000,,-27704000,-1072000.0,-28776000,,-28714000,-28714000,-13.99437148217636
BLFS,2020-12-31,148798,USD,2020,FY,2021-03-31,2022-03-31,27306258.0,27306258.0,48087000.0,-20646000.0,27441000.0,-30773000.0,-21020000.0,-6720000.0,-3033000.0,-3332000,58000.0,58000.0,-3274000,2677000.0,-597000,3264000.0,2667000,,2667000,2667000,-57.44827586206897
BLUE,2016-12-31,787981,USD,2016,FY,2017-02-22,2019-02-21,57566496.0,57566496.0,6155000.0,,,-269894000.0,-65119000.0,-204775000.0,,-263739000,3711000.0,3782000.0,-260028000,-4091000.0,-264119000,612000.0,-263507000,,-263507000,-263507000,-69.7353252247488
BLUE,2018-12-31,787981,USD,2018,FY,2019-02-21,2021-02-23,80337408.0,80337408.0,54579000.0,-885000.0,53694000.0,-622718000.0,-174129000.0,-448589000.0,,-569024000,16585000.0,14624000.0,-552439000,-2999000.0,-555438000,-187000.0,-555625000,,-555625000,-555625000,-38.91028446389497
BLUE,2019-12-31,787981,USD,2019,FY,2020-02-18,2022-03-04,85214904.0,85214904.0,,,,-562963000.0,-235844000.0,-327119000.0,,-562963000,7396000.0,17380000.0,-555567000,,-555567000,545000.0,-555022000,-234586000.0,-789608000,-789608000,-32.39142692750288
BLUE,2020-12-31,787981,USD,2020,FY,2021-02-23,2022-03-04,96002832.0,96002832.0,,,,-559259000.0,-239950000.0,-319309000.0,,-559259000,-1111000.0,5770000.0,-560370000,,-560370000,-686000.0,-561056000,-57639000.0,-618695000,-618695000,-96.92530329289428
BMRA,2017-05-31,245138,USD,2017,FY,2017-08-29,2017-08-29,8329769.0,8329769.0,5791670.0,-3769879.0,2021791.0,-2976424.0,-1845789.0,-1130635.0,,-954633,46072.0,46072.0,-908561,,-908561,0.0,-908561,,-908561,-908561,-20.720459281125194
BMRA,2018-05-31,245138,USD,2018,FY,2018-08-29,2018-08-29,8570029.0,8570029.0,5564185.0,-3809785.0,1754400.0,-3236155.0,-1837787.0,-1398368.0,,-1481755,47727.0,47727.0,-1434028,,-1434028,-31800.0,-1465828,,-1465828,-1465828,-31.04647264651036
BMRA,2019-05-31,245138,USD,2019,FY,2019-08-29,2019-08-29,9212557.0,9212557.0,5200682.0,-3908668.0,1292014.0,-3704804.0,-2025706.0,-1679098.0,,-2412790,43967.0,43967.0,-2368823,,-2368823,-24237.0,-2393060,,-2393060,-2393060,-54.87729433438715
BPMC,2018-12-31,781830,USD,2018,FY,2019-02-26,2021-02-17,43867000.0,43867433.0,44521000.0,,,-291549000.0,-47928000.0,-243621000.0,,-247028000,10386000.0,10566000.0,-236642000,,-236642000,,-236642000,,-236642000,-236642000,-23.379519212568617
BPMC,2019-12-31,781830,USD,2019,FY,2020-02-13,2022-02-17,47829000.0,47829000.0,66512000.0,,,-427838000.0,-96388000.0,-331450000.0,,-361326000,13632000.0,13732000.0,-347694000,,-347694000,,-347694000,,-347694000,-347694000,-26.312700262161375
BSET,2020-11-30,675839,USD,2020,FY,2021-01-21,2022-01-31,9969616.0,9969616.0,385863000.0,-210513000.0,175350000.0,-176368000.0,-176368000.0,,,-1018000,-563000.0,187000.0,-1581000,-15205000.0,-16786000,6365000.0,-10421000,,-10421000,-10421000,-5.44385026737968
BTAI,2018-12-31,818572,USD,2018,FY,2019-03-12,2019-03-12,14571553.0,14571553.0,,,,-19962000.0,-5404000.0,-14558000.0,,-19962000,692000.0,692000.0,-19270000,,-19270000,,-19270000,,-19270000,-19270000,-28.846820809248555
BTAI,2019-12-31,818572,USD,2019,FY,2020-03-09,2021-03-12,16289175.0,16289175.0,,,,-33601000.0,-7804000.0,-25797000.0,,-33601000,633000.0,633000.0,-32968000,,-32968000,,-32968000,,-32968000,-32968000,-53.08214849921011
BTAI,2020-12-31,818572,USD,2020,FY,2021-03-12,2022-03-11,21683000.0,21683000.0,,,,-82297000.0,-24302000.0,-57995000.0,,-82297000,128000.0,128000.0,-82169000,,-82169000,,-82169000,,-82169000,-82169000,-642.9453125
BVSN,2016-12-31,156413,USD,2016,FY,2017-03-30,2017-03-30,4924000.0,4924000.0,7940000.0,-3324000.0,4616000.0,-14570000.0,-7669000.0,-6901000.0,,-9954000,517000.0,86000.0,-9437000,,-9437000,-48000.0,-9485000,,-9485000,-9485000,-115.74418604651163
BVSN,2017-12-31,156413,USD,2017,FY,2018-04-27,2018-04-27,4975000.0,4975000.0,6357000.0,-3148000.0,3209000.0,-13972000.0,-7409000.0,-6563000.0,,-10763000,752000.0,129000.0,-10011000,,-10011000,112000.0,-9899000,,-9899000,-9899000,-83.43410852713178
BVSN,2018-12-31,156413,USD,2018,FY,2019-04-29,2019-04-29,4997000.0,4997000.0,5051000.0,-1958000.0,3093000.0,-9937000.0,-4917000.0,-5020000.0,,-6844000,-187000.0,67000.0,-7031000,,-7031000,31000.0,-7000000,,-7000000,-7000000,-102.14925373134328
